更新时间,#genre#
央视频道,#genre#
卫视频道,#genre#
港台频道,#genre#
电影频道,#genre#

# 各频道速度最快前3个直播源
# 提取时间: 2025-11-11 14:01:46

凤凰中文,http://api.mg.itv888.cn:8080/hls/2f80047f91e/index.m3u8
凤凰中文,https://cdn6.101.qzz.io/163189/fhzw
凤凰中文,https://cdn.iptv8k.top/dl/jrys.php?id=19&time=20240926215313&ip=111.229.253.40
凤凰资讯,http://api.mg.itv888.cn:8080/hls/11ef1dc70d8/index.m3u8
凤凰资讯,http://108.181.20.197/livehttpplay?channel_id=30015
凤凰资讯,https://cdn6.101.qzz.io/163189/fhzx
凤凰香港,http://108.181.20.197/livehttpplay?channel_id=30016
凤凰香港,https://cdn6.101.qzz.io/163189/fhhk
凤凰香港,http://vallest.uk/livehttpplay?channel_id=30016
深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
深圳卫视,https://shyd.695847.xyz/cms001/ch00000090990000001030/index.m3u8?IAS
深圳卫视,http://223.167.245.20:8001/rtp/239.45.3.231:5140
靖天电影,http://live4play.uk/livehttpplay?channel_id=12037
重庆卫视,https://www.yangshipin.cn/tv/home?pid=600002531
重庆卫视,http://171.116.216.113:10010/rtp/226.0.1.178:3102
重庆卫视,http://112.27.235.94:8000/hls/36/index.m3u8
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://r.jdshipin.com/GeWKr?id=fct720
明珠台,http://r.jdshipin.com/GeWKr?id=mzt720
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
河南卫视,http://tvcdn.stream3.hndt.com/tv/65c4a6d5017e1000b2b6ea2500000000_transios/playlist.m3u8?wsSecret=992c9f7d6ccc2e3b8983a60c975b0450&wsTime=1762878500
河南卫视,https://www.yangshipin.cn/tv/home?pid=600002525
河南卫视,http://223.167.245.20:8001/rtp/239.45.0.3:5140
安徽卫视,https://www.yangshipin.cn/tv/home?pid=600002532
安徽卫视,http://drive.mxmy.net:8888/udp/239.3.1.211:8064
安徽卫视,http://113.57.93.165:9900/tsfile/live/0130_1.m3u8
凤凰卫视,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰卫视,http://122.152.202.33/s/81a8a44f/index.m3u8?id=15
辽宁卫视,https://www.yangshipin.cn/tv/home?pid=600002505
辽宁卫视,http://drive.mxmy.net:8888/udp/239.3.1.210:8056
辽宁卫视,http://171.116.216.113:10010/rtp/226.0.1.177:3101
东森电影,https://cdn.iptv8k.top/dl/jrys.php?id=230&time=20240926215313&ip=111.229.253.40
东森电影,https://cdn.iptv8k.top/dl/jrys.php?id=231&time=20240926215313&ip=111.229.253.40
东森电影,https://cdn.iptv8k.top/dl/jrys.php?id=229&time=20240926215313&ip=111.229.253.40
CHC家庭影院,http://eastscreen.tv/ooooo.php?id=chcjt
CHC家庭影院,https://www.freetv.top/migu/644368373.m3u8?migutoken=893aa32f9d861d92c0661b8125e5b12471106642e4d0f341956e45e2f60dbb2179c3b5b6f05c2e8242e24d254815578255456ce991c2d337b226ce49c025efe16f2d4715157e642b7447f0bf06
CHC家庭影院,http://61.162.52.6:8088/newlive/live/hls/60/live.m3u8
CCTV5,https://api.olelive.com/dis/live/CCTV5HD/hls.m3u8
CCTV5,http://drive.mxmy.net:8888/udp/239.3.1.173:8001
CCTV5,http://113.57.93.165:9900/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,https://api.olelive.com/dis/live/CCTV14HD/hls.m3u8
CCTV14,http://drive.mxmy.net:8888/udp/239.3.1.65:8132
CCTV14,http://223.167.245.20:8001/rtp/239.45.3.23:5140
CCTV8,https://api.olelive.com/dis/live/CCTV8HD/hls.m3u8
CCTV8,http://223.167.245.20:8001/rtp/239.45.1.71:5140
CCTV8,http://drive.mxmy.net:8888/udp/239.3.1.175:8001
CCTV17,https://api.olelive.com/dis/live/CCTV17HD/hls.m3u8
CCTV17,http://drive.mxmy.net:8888/udp/239.3.1.188:8001
CCTV17,http://drive.mxmy.net:8888/udp/239.3.1.151:8144
CCTV5+,https://api.olelive.com/dis/live/CCTV5PHD/hls.m3u8
CCTV5+,http://drive.mxmy.net:8888/udp/239.3.1.130:8004
CCTV5+,http://1.58.246.183:4001/rtp/229.58.190.154:5000
CCTV15,https://api.olelive.com/dis/live/CCTV15HD/hls.m3u8
CCTV15,http://223.167.245.20:8001/rtp/239.45.1.200:5140
CCTV15,http://113.57.93.165:9900/tsfile/live/0015_1.m3u8
CCTV9,https://api.olelive.com/dis/live/CCTV9HD/hls.m3u8
CCTV9,http://drive.mxmy.net:8888/udp/239.3.1.62:8112
CCTV9,http://223.167.245.20:8001/rtp/239.45.3.4:5140
CCTV4,https://api.olelive.com/dis/live/CCTV4HD/hls.m3u8
CCTV4,http://drive.mxmy.net:8888/udp/239.3.1.213:4220
CCTV4,http://drive.mxmy.net:8888/udp/239.3.1.214:4220
CCTV16,https://api.olelive.com/dis/live/CCTV16HD/hls.m3u8
CCTV16,http://171.116.216.113:10010/rtp/226.0.1.118:2032
CCTV16,http://dms.yryyj.site:8188/udp/239.76.246.98:1234
CCTV12,https://api.olelive.com/dis/live/CCTV12HD/hls.m3u8
CCTV12,http://223.167.245.20:8001/rtp/239.45.3.10:5140
CCTV12,http://124.165.251.82:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,https://api.olelive.com/dis/live/CCTV7HD/hls.m3u8
CCTV7,http://223.167.245.20:8001/rtp/239.45.3.56:5140
CCTV7,http://171.116.216.113:10010/rtp/226.0.1.163:3097
